datetime,humidity,cloudcover,visibility,solarradiation
2024-11-01 00:00:00,93.05,51,24.1,0
2024-11-01 01:00:00,93.05,54,24.1,0
2024-11-01 02:00:00,89.45,55,24.1,0
2024-11-01 03:00:00,89.45,58,24.1,0
2024-11-01 04:00:00,89.45,66,24.1,0
2024-11-01 05:00:00,86.59,76,24.1,0
2024-11-01 06:00:00,90.08,81,23.1,0
2024-11-01 07:00:00,93.08,82,24.1,0
2024-11-01 08:00:00,90.16,86,16.2,9
2024-11-01 09:00:00,100.0,91,16.2,57
2024-11-01 10:00:00,93.25,85,16.2,60
2024-11-01 11:00:00,93.28,81,16.3,47
2024-11-01 12:00:00,83.87,63,16.3,155
2024-11-01 13:00:00,68.39,49,16.3,364
2024-11-01 14:00:00,57.36,46,16.2,302
2024-11-01 15:00:00,53.13,48,16.2,259
2024-11-01 16:00:00,52.69,46,16.2,98
2024-11-01 17:00:00,60.15,23,16.3,54
2024-11-01 18:00:00,66.89,24,16.2,28
2024-11-01 19:00:00,71.73,34,16.2,22
2024-11-01 20:00:00,71.52,47,16.3,19
2024-11-01 21:00:00,73.81,47,16.2,0
2024-11-01 22:00:00,74.1,37,16.2,0
2024-11-01 23:00:00,70.86,38,16.3,0
2024-11-02 00:00:00,68.18,29,16.3,0
2024-11-02 01:00:00,67.59,35,16.3,0
2024-11-02 02:00:00,70.09,42,16.3,0
2024-11-02 03:00:00,72.99,48,16.3,0
2024-11-02 04:00:00,72.78,55,16.3,0
2024-11-02 05:00:00,78.72,58,16.3,0
2024-11-02 06:00:00,78.72,59,16.3,0
2024-11-02 07:00:00,72.15,60,16.3,0
2024-11-02 08:00:00,75.31,56,16.3,48
2024-11-02 09:00:00,69.76,52,16.3,190
2024-11-02 10:00:00,62.36,44,16.2,319
2024-11-02 11:00:00,57.51,34,16.2,419
2024-11-02 12:00:00,51.42,33,16.2,471
2024-11-02 13:00:00,47.72,34,16.2,455
2024-11-02 14:00:00,43.85,30,16.2,368
2024-11-02 15:00:00,42.26,30,16.2,262
2024-11-02 16:00:00,45.66,29,16.2,149
2024-11-02 17:00:00,59.66,44,16.3,52
2024-11-02 18:00:00,64.43,40,16.3,29
2024-11-02 19:00:00,75.31,41,16.2,23
2024-11-02 20:00:00,75.31,40,16.2,20
2024-11-02 21:00:00,78.54,39,16.2,0
2024-11-02 22:00:00,81.35,34,16.2,0
2024-11-02 23:00:00,75.12,70,16.3,0
2024-11-03 00:00:00,78.37,48,16.3,0
2024-11-03 01:00:00,81.88,25,16.2,0
2024-11-03 01:00:00,81.2,34,16.2,0
2024-11-03 02:00:00,74.81,28,16.2,0
2024-11-03 03:00:00,74.81,28,16.2,0
2024-11-03 04:00:00,74.81,29,16.2,0
2024-11-03 05:00:00,77.61,30,16.2,0
2024-11-03 06:00:00,84.87,32,16.2,0
2024-11-03 07:00:00,84.87,23,16.3,48
2024-11-03 08:00:00,69.05,31,16.3,195
2024-11-03 09:00:00,61.09,25,16.3,329
2024-11-03 10:00:00,52.27,18,16.2,413
2024-11-03 11:00:00,44.53,12,16.2,468
2024-11-03 12:00:00,39.76,8,16.2,467
2024-11-03 13:00:00,38.42,4,16.2,420
2024-11-03 14:00:00,38.42,1,16.2,321
2024-11-03 15:00:00,38.42,0,16.2,186
2024-11-03 16:00:00,42.7,0,16.3,52
2024-11-03 17:00:00,52.27,1,16.3,30
2024-11-03 18:00:00,52.13,1,16.3,24
2024-11-03 19:00:00,63.66,2,16.3,20
2024-11-03 20:00:00,65.86,1,16.3,0
2024-11-03 21:00:00,68.81,3,16.3,0
2024-11-03 22:00:00,71.38,5,16.3,0
2024-11-03 23:00:00,74.61,11,16.3,0
2024-11-04 00:00:00,77.42,28,16.3,0
2024-11-04 01:00:00,77.42,21,16.3,0
2024-11-04 02:00:00,80.96,40,16.3,0
2024-11-04 03:00:00,80.96,37,16.3,0
2024-11-04 04:00:00,84.74,49,16.2,0
2024-11-04 05:00:00,84.74,54,16.2,0
2024-11-04 06:00:00,88.02,59,16.2,0
2024-11-04 07:00:00,88.02,64,16.3,43
2024-11-04 08:00:00,78.28,68,16.3,135
2024-11-04 09:00:00,69.3,71,16.2,229
